numname,Planet status,mass,detection_type,radius,orbital_period,semi_major_axis,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius_error_min,radius_error_max,orbital_period_error_min,orbital_period_error_max,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,,,,,,,,,,,,
11 Com b,Confirmed,19,4,Radial Velocity,,326,03,1,29,1,5,1,5,19,4,1,5,1,5,,,0,32,0,32,0,05,0,05,0,231,0,005,0,005,,,,0,011664,2008,2015-08-21,94,8,1,5,1,5,2452899,6,1,6,1,6,,,,,,,,,,,,,,,,,,,296,7,5,6,5,6,,,,,,,,,,Published in a refereed paper,,,,,11 Com,185,1791667,17,7927778,4,74,,,,,110,6,10,5,10,5,-0,35,0,09,0,09,2,7,0,3,0,3,19,2,2,G8 III,,,,4742,100,100,,,,,,,,,,,,,,,
11 Oph b,Confirmed,21,Imaging,,730000,243,3,3,,,,,,365000,365000,55,55,,,,,,,1,675862,2007,2016-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,11 Oph,245,6041667,-24,0872222,,,,,14,03,145,20,20,,,,0,0162,0,005,0,005,,,,M9,0,011,0,002,0,002,2375,175,175,,,,,,,,,,,,,,,
11 UMi b,Confirmed,10,5,Radial Velocity,,516,22,1,54,2,47,2,47,10,5,2,47,2,47,,,3,25,3,25,0,07,0,07,0,08,0,03,0,03,,,,0,012887,2009,2009-08-13,117,63,21,06,21,06,2452861,05,2,06,2,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,11 UMi,229,275,71,8238889,5,02,,,,,119,5,6,9,6,9,0,04,0,04,0,04,1,8,0,25,0,25,24,08,1,84,1,84,K4III,1,56,0,54,0,54,4340,70,70,,,,,,,,,,,,,,,
11 Uma b,Unconfirmed,3,72,Other,,651,9,1,56,0,82,0,82,,,,,,7,1,7,1,0,07,0,07,0,7,0,07,0,07,,,,0,049367,2008,2010-11-26,6,24,8,9,8,9,53469,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,11 Uma,137,0958333,66,8733333,5,16,,,,,31,6,2,9,2,9,-0,245,0,04,0,04,1,81,0,195,0,195,36,3,4,2,4,2,K5III,,,,4090,70,70,,,,,,,,,,,,,,,
14 And b,Confirmed,5,33,Radial Velocity,,185,84,0,83,0,57,0,57,5,33,0,57,0,57,,,0,23,0,23,,,0,,,,,,0,010864,2008,2014-08-27,,,,2452861,4,1,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,14 And,352,8208333,39,2361111,5,22,4,1,3,02,2,61,2,33,76,4,4,1,4,1,-0,24,,,2,2,0,2,0,2,11,1,1,K0III,,,,4813,20,20,,,,,,,,,,,,,,,
14 Her b,Confirmed,4,64,Radial Velocity,,1773,4,2,77,0,19,0,19,4,64,0,19,0,19,,,2,5,2,5,0,05,0,05,0,369,0,005,0,005,,,,0,153039,2002,2014-08-27,22,6,0,9,0,9,2451372,7,3,6,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,14 Her,242,5958333,43,8216667,6,67,,,,,18,1,,,0,43,0,08,0,08,0,9,,,0,708,0,085,0,085,K0 V,5,1,,,5311,87,87,,,,,,,,,,,,,,,
14 Her c,Unconfirmed,2,1,Other,,6906,6,9,,,,,,,,70,70,,,0,,,,,,0,381215,2006,2015-11-25,218,,,9100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,,,,,14 Her,242,5958333,43,8216667,6,67,,,,,18,1,,,0,43,0,08,0,08,0,9,,,0,708,0,085,0,085,K0 V,5,1,,,5311,87,87,,,,,,,,,,,,,,,
16 Cyg B b,Confirmed,1,68,Radial Velocity,,799,5,1,68,0,07,0,07,1,68,0,07,0,07,,,0,6,0,6,0,03,0,03,0,689,0,011,0,011,,,,0,078468,1996,2014-08-27,83,4,2,1,2,1,2450539,3,1,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,16 Cyg B,295,4625,50,5175,6,2,,,,,21,41,0,24,0,24,0,08,0,04,0,04,1,01,0,04,0,04,0,98,0,13,0,13,G2.5 V,8,1,8,1,8,5766,60,60,,,,,,,,,,,,,,,
18 Del b,Confirmed,10,3,Radial Velocity,,993,3,2,6,,,10,3,,,,,3,2,3,2,,,0,08,0,01,0,01,,,,0,035568,2008,2014-08-27,166,1,6,5,6,5,2451672,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,18 Del,314,6083333,10,8391667,5,52,,4,03,3,44,3,67,73,1,3,5,3,5,-0,052,0,023,0,023,2,3,,,8,5,,,G6III,,,,4979,18,18,,,,,,,,,,,,,,,
1SWASP J1407 b,Confirmed,20,Primary Transit,,3725,3,9,6,6,20,6,6,,,900,900,1,7,1,7,,,,,,,,2012,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,1SWASP J1407,211,950000016,-39,761944469,12,4,,,,,133,12,12,,,,0,9,,,0,99,0,11,0,11,,0,016,,,4400,100,100,,,,,,,,,,,,,,,
24 Sex b,Confirmed,1,99,Radial Velocity,,452,8,1,333,0,38,0,26,1,99,0,38,0,26,,,4,5,2,1,0,009,0,004,0,09,0,06,0,14,,,,0,017821,2010,2014-05-23,9,2,165,4,277,9,2454762,172,3,172,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,24 Sex,155,8666667,0,9022222,7,38,,,,,74,8,4,9,4,9,-0,03,0,04,0,04,1,54,0,08,0,08,4,9,0,08,0,08,G5,2,7,0,4,0,4,5098,44,44,,,,,,,,,,,,,,,
24 Sex c,Confirmed,0,86,Radial Velocity,,883,2,08,0,22,0,35,0,86,0,22,0,35,,,14,32,0,02,0,05,0,29,0,09,0,16,,,,0,027807,2010,2014-05-23,220,5,320,9,182,2,2454930,96,5,96,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,24 Sex,155,8666667,0,9022222,7,38,,,,,74,8,4,9,4,9,-0,03,0,04,0,04,1,54,0,08,0,08,4,9,0,08,0,08,G5,2,7,0,4,0,4,5098,44,44,,,,,,,,,,,,,,,
2M 0746+20 b,Confirmed,30,Imaging,0,97,4640,2,897,25,25,,,,0,06,0,06,25,25,0,005,0,005,0,487,0,003,0,003,138,2,0,5,0,5,0,237265,2010,2012-01-20,354,4,0,9,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,2M 0746+20,116,6791667,20,0088889,,,,,,12,21,0,05,0,05,,,,0,12,0,09,0,09,0,089,0,003,0,003,,,,,2205,50,50,,,,,,,,,,,,,,,
2M 1938+46 b,Confirmed,1,9,Pulsar,,416,0,92,0,1,0,1,,,,,,2,2,0,02,0,02,,,,,,,,2015,2016-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,,Kepler-451 b,,2M  1938+46,294,637500011,46,066388903,,,,,,,,,,,,0,6,0,03,0,03,,,,sdB+M,,,,,,,,,Kepler-451,,,,,,,,,,,,
2M 2140+16 b,Confirmed,20,Imaging,0,92,7340,3,53,20,80,,,,0,39,0,39,584,584,0,15,0,15,0,26,0,06,0,06,46,2,8,7,8,7,0,1412,2010,2012-01-20,223,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,2M 2140+16,325,1208333,16,4216667,,,,,,25,10,10,,,,0,08,0,06,0,06,0,1,0,043,0,043,,,,,2300,80,80,,,,,,,,,,,,,,,
2M 2206-20 b,Confirmed,30,Imaging,1,3,8686,4,48,20,70,,,,0,18,0,18,69,4,69,4,0,4,0,4,0,,,44,3,0,7,0,7,0,167979,2010,2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,2M 2206-20,331,5958333,-20,785,,,,,,26,67,2,63,2,63,,,,0,13,0,05,0,05,0,11,0,015,0,015,,,,,2350,80,80,,,,,,,,,,,,,,,
2MASS J11193254 AB,Confirmed,3,7,Imaging,,32850,,0,9,1,2,,,,,,,,,,,,,,,,,2017,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,2MASS J11193254 AB,169,885595844,-11,6296389116,,,,,14,62,,,,,,,,,,,,,L7,0,01,0,003,0,003,,,,,,,,,,,,,,,,,,
30 Ari B b,Confirmed,9,88,Radial Velocity,,335,1,0,995,0,94,0,94,9,88,0,94,0,94,,,2,5,2,5,0,012,0,012,0,289,0,092,0,092,,,,0,025254,2009,2009-11-27,307,18,18,2454538,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,30 Ari B,39,2416667,24,6480556,7,1,,,,,39,4,1,7,1,7,0,12,0,08,0,08,1,22,0,08,0,08,1,23,0,07,0,07,F6V,0,91,0,03,0,03,6484,98,98,,,,,,,,,,,,,,,
38 Vir b,Confirmed,4,51,Primary Transit,,825,9,1,82,0,5,0,5,4,51,0,5,0,5,,,6,2,6,2,0,07,0,07,0,03,0,04,0,04,,,,,2016,2017-02-20,,,,,,,,,,2455490,2,177,3,177,3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,HD 111998 b,,38 Vir,193,296489462,-3,5530992913,6,11,,,,,,,,0,07,,,1,18,0,12,0,12,1,45,0,07,0,07,F6 V,1,9,0,7,0,6,6557,96,96,,,HD 111998, HIP 62875,,,,,,,,,,,
4 Uma b,Confirmed,7,1,Radial Velocity,,269,3,0,87,1,6,1,6,7,1,1,6,1,6,,,1,96,1,96,0,04,0,04,0,432,0,024,0,024,,,,0,011083,2007,2014-08-27,23,81,4,42,4,42,2452987,3936,4,31,4,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,4 Uma,130,0541667,64,3280556,5,79,,,,,78,5,1,6,1,6,-0,25,0,04,0,04,1,234,0,15,0,15,,,,K1III,4,604,2,2,4415,70,70,,,,,,,,,,,,,,,
42 Dra b,Confirmed,3,88,Radial Velocity,,479,1,1,19,0,85,0,85,3,88,0,85,0,85,,,6,2,6,2,0,01,0,01,0,38,0,06,0,06,,,,0,01223,2009,2009-03-23,218,7,10,6,10,6,2452757,4,3,7,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,42 Dra,276,4958333,65,5636111,4,83,,,,,97,3,5,5,-0,46,0,05,0,05,0,98,0,05,0,05,22,03,1,1,K1.5III,9,49,1,76,1,76,4200,70,70,,,,,,,,,,,,,,,
47 Uma b,Confirmed,2,53,Radial Velocity,,1078,2,1,0,06,0,07,2,53,0,06,0,07,,,2,2,0,02,0,02,0,032,0,014,0,014,,,,0,150322,1996,2014-08-27,334,23,23,2451917,76,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,47 Uma,164,8708333,40,4294444,5,1,,,,,13,97,1,91,1,91,0,0,07,0,07,1,03,0,05,0,05,1,24,0,04,0,04,G0V,7,4,1,9,1,9,5892,70,70,,,,,,,,,,,,,,,
47 Uma c,Confirmed,0,54,Radial Velocity,,2391,3,6,0,073,0,066,0,54,0,073,0,066,,,87,100,0,1,0,1,0,098,0,096,0,047,,,,0,257695,2001,2014-08-27,295,160,114,2456441,825,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,47 Uma,164,8708333,40,4294444,5,1,,,,,13,97,1,91,1,91,0,0,07,0,07,1,03,0,05,0,05,1,24,0,04,0,04,G0V,7,4,1,9,1,9,5892,70,70,,,,,,,,,,,,,,,
47 Uma d,Confirmed,1,64,Radial Velocity,,14002,11,6,0,48,0,29,1,64,0,48,0,29,,,5095,4018,2,9,2,1,0,16,0,16,0,09,,,,0,830351,2010,2014-08-27,110,160,132,2451736,5051,6783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,,,,,47 Uma,164,8708333,40,4294444,5,1,,,,,13,97,1,91,1,91,0,0,07,0,07,1,03,0,05,0,05,1,24,0,04,0,04,G0V,7,4,1,9,1,9,5892,70,70,,,,,,,,,,,,,,,
51 Eri b,Confirmed,9,1,Imaging,1,11,14965,14,3,3,4,9,,,,0,13,0,16,4380,12775,3,7,0,21,0,15,0,15,138,13,15,,2015,2017-04-13,90,58,58,2452014,79,12,12,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,3,5,Published in a refereed paper,Spectrum,,,CH4, H2O,51 Eri,69,4005514287,-2,4735485982,5,223,,,,,29,4,0,3,0,3,-0,027,,,1,75,0,05,0,05,,,,F0IV,0,02,0,006,0,006,,,,IR Excess,,,,,,,,,,,,,
